prodcode	productname	drugsubstance	bnfcode	bnfchapter
4444	Triamcinolone acetonide Cream	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
4488	Triamcinolone acetonide 40mg/ml IA/IM	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
4654	Losec 40mg gastro-resistant capsules (AstraZeneca UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
4664	Betnesol 0.10% Nasal drops (UCB Pharma Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
4728	Audicort ear drops (Mercury Pharma Group Ltd)	Neomycin/Triamcinolone acetonide	00000000	Unknown
4840	Fusidic acid with betamethasone valerate 2%with1% cream	Fusidic Acid/Betamethasone Valerate	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
4854	Triamcinolone acetonide with neomycin nystatin and gramicidin Cream	Neomycin Sulphate/Nystatin/Gramicidin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
4920	Fenofibrate micronised 200mg capsules	Fenofibrate micronised	02120300	Fibrates
4921	Omeprazole 20mg dispersible gastro-resistant tablets	Omeprazole magnesium	01030500	Proton Pump Inhibitors
4928	Lipantil Micro 200 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
4932	Betnesol -n Nasal drops (UCB Pharma Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
4946	Plaquenil 200mg tablets (Sanofi)	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
4955	Omeprazole 40mg dispersible gastro-resistant tablets	Omeprazole magnesium	01030500	Proton Pump Inhibitors
4970	Leflunomide 100mg tablets	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
4971	Leflunomide 10mg tablets	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
5096	Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application	Salicylic acid/Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
5125	Betamethasone sodium phosphate 0.1% ear drops	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
5178	Esomeprazole 20mg gastro-resistant tablets	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
5216	Bezalip mono 400mg Modified-release tablet (Roche Products Ltd)	Bezafibrate	02120300	Fibrates
5217	Betamethasone dipropionate 0.064% / Clotrimazole 1% cream	Clotrimazole/Betamethasone dipropionate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
5232	Omeprazole 10mg dispersible gastro-resistant tablets	Omeprazole magnesium	01030500	Proton Pump Inhibitors
5236	Losec MUPS 20mg gastro-resistant tablets (AstraZeneca UK Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
5269	Nexium 20mg gastro-resistant tablets (AstraZeneca UK Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
5332	Betnesol 0.10% Ear drops (UCB Pharma Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
5358	Lansoprazole 30mg gastro-resistant granules sachets	Lansoprazole	01030500	Proton Pump Inhibitors
5390	Fenofibrate micronised 267mg capsules	Fenofibrate micronised	02120300	Fibrates
5554	Betamethasone sodium phosphate 0.1% nasal drops	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
5604	Esomeprazole 40mg gastro-resistant tablets	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
5662	Amoxicillin 500mg / Clarithromycin 500mg / Lansoprazole 30mg triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
5793	Stesolid 10mg Rectal tubes (Dumex Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
5828	Dovobet ointment (LEO Pharma)	Betamethasone dipropionate/Calcipotriol hydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
5834	Pariet 10mg gastro-resistant tablets (Eisai Ltd)	Rabeprazole sodium	01030500	Proton Pump Inhibitors
5842	Diazepam 2.5mg/1.25ml rectal solution tube	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
5905	Lotriderm cream (Merck Sharp & Dohme Ltd)	Clotrimazole/Betamethasone dipropionate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
6063	Zoton FasTab 30mg (Pfizer Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
6114	Omeprazole 20mg gastro-resistant tablets	Omeprazole	01030500	Proton Pump Inhibitors
6144	Betnesol -n Ear drops (UCB Pharma Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
6245	Lansoprazole 15mg orodispersible tablets	Lansoprazole	01030500	Proton Pump Inhibitors
6291	Zoton FasTab 15mg (Pfizer Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
6300	Lansoprazole 30mg orodispersible tablets	Lansoprazole	01030500	Proton Pump Inhibitors
6340	Betamethasone sodium phosphate 0.1% with neomycin 0.5% ear drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
6342	Aureocort ointment (AMCo)	Triamcinolone acetonide/Chlortetracycline hydrochloride	13040000/13040100/13040400	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials/Potent Topical Corticosteroids
6490	Nexium 40mg gastro-resistant tablets (AstraZeneca UK Ltd)	Esomeprazole magnesium trihydrate	01030500	Proton Pump Inhibitors
6497	Clarithromycin 500mg with metronidazole 400mg with lansoprazole 30mg triple pack	Metronidazole/Lansoprazole/Clarithromycin	01030500/05010500	Proton Pump Inhibitors/Macrolides
6587	Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment	Betamethasone dipropionate/Calcipotriol hydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
6615	Triamcinolone acetonide with neomycin nystatin and gramicidin otic Ointment	Neomycin Sulphate/Nystatin/Gramicidin/Triamcinolone Acetonide	12010100	Drugs Acting On The Ear - Otitis Externa
6747	Diazepam 5mg/2.5ml rectal solution tube	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
6799	Betamethasone 0.1% foam	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
6801	Betamethasone valerate 0.025% ointment	Betamethasone valerate	13040000/13040300	Topical Corticosteroids/Moderate Topical Corticosteroids
6883	Betamethasone valerate 0.1% / Neomycin 0.5% ointment	Neomycin sulfate/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
6934	Leflunomide 20mg tablets	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
6960	Vista-methasone Nasal drops (Martindale Pharmaceuticals Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
7180	Vista-methasone Ear drops (Martindale Pharmaceuticals Ltd)	Betamethasone Sodium Phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
7187	Triamcinolone acetonide 0.1% / Chlortetracycline 3.09% ointment	Triamcinolone acetonide/Chlortetracycline hydrochloride	13040000/13040100/13040400	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials/Potent Topical Corticosteroids
7255	Omeprazole 20mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
7286	Betamethasone 500microgram soluble tablets sugar free	Betamethasone sodium phosphate	06030200	Glucocorticoid Therapy
7321	Betnesol -n Ear/eye/nose drops solution (UCB Pharma Ltd)	Betamethasone sodium phosphate/Neomycin sulfate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
7324	Betamethasone dipropionate 0.05% scalp lotion	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
7363	Betamethasone 0.1% ear/eye/nose drops	Betamethasone sodium phosphate	11040100/12010151/12020101	Corticosteroids (in Eye Preparations)/Anti-inflammatory Preparations/Corticosteroids Used In Nasal Allergy
7396	Betnesol 0.10% Ear/eye/nose drops solution (UCB Pharma Ltd)	Betamethasone sodium phosphate	11040100/12010100	Corticosteroids (in Eye Preparations)/Drugs Acting On The Ear - Otitis Externa
7540	Lipantil Micro 267 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
7724	Betamethasone valerate 100micrograms/actuation inhaler	Betamethasone Valerate	03020000	Corticosteroids (for Respiratory Conditions)
7753	Betamethasone dipropionate 0.05% cream	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
7820	Betamethasone dipropionate 0.05% ointment	Betamethasone dipropionate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
7992	Lederspan 5mg/ml Injection (Wyeth Pharmaceuticals)	Triamcinolone Hexacetonide	10010202	Local Corticosteroid Injections
8082	Gemfibrozil 600mg tablets	Gemfibrozil	02120300	Fibrates
8334	Diazepam 10mg suppositories	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
8344	Diazepam 5mg suppository	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
8345	Stesolid 10mg rectal tube (Accord Healthcare Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
8459	Silderm Cream (Wyeth Pharmaceuticals)	Neomycin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
8529	Betamethasone 0.1% eye ointment	Betamethasone sodium phosphate	11040100	Corticosteroids (in Eye Preparations)
8706	Modalim 100mg tablets (Sanofi)	Ciprofibrate	02120300	Fibrates
8864	Adcortyl 10mg/ml Intraarticular / intradermal injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	10010202	Local Corticosteroid Injections
9026	Lederspan 20mg/ml Injection (Wyeth Pharmaceuticals)	Benzyl Alcohol/Triamcinolone Hexacetonide	10010202	Local Corticosteroid Injections
9045	Diazepam 1mg/5ml suspension	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
9065	Diazepam 5mg/5ml oral solution	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
9109	Betnovate Suppository (Glaxo Laboratories Ltd)	Betamethasone Valerate	01070200	Compound Haemorrhoidal Preparations With Corticosteroids
9111	Diazepam 10mg capsules	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
9116	Triamcinolone acetonide with nystatin Cream	Nystatin/Triamcinolone Acetonide	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
9368	Triamcinolone acetonide 10mg/ml IA/ID	Triamcinolone Acetonide	10010202	Local Corticosteroid Injections
9430	Diazepam 2.5mg/5ml oral suspension	Diazepam	04010201/04080200/04080300/04105000/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
9491	Fenofibrate micronised 67mg capsules	Fenofibrate micronised	02120300	Fibrates
9639	Fenofibrate micronised 160mg tablets	Fenofibrate micronised	02120300	Fibrates
9716	Supralip 160mg tablets (Mylan)	Fenofibrate micronised	02120300	Fibrates
9735	Betamethasone sodium phosphate 0.1% with neomycin 0.5% nasal drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
9825	Losec MUPS 40mg gastro-resistant tablets (AstraZeneca UK Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
9851	Omeprazole 10mg gastro-resistant tablets	Omeprazole	01030500	Proton Pump Inhibitors
9989	Omeprazole 40mg gastro-resistant tablets	Omeprazole	01030500	Proton Pump Inhibitors
10098	Zoton 30mg gastro-resistant granules sachets (Wyeth Pharmaceuticals)	Lansoprazole	01030500	Proton Pump Inhibitors
