medcode	readcode	readterm
36125	K03U.00	Unspecif nephr synd, diff concentric glomerulonephritis
60128	K03V.00	Unspecified nephritic syndrome, dense deposit disease
62520	K03W.00	Unsp nephrit synd, diff endocap prolif glomerulonephritis
30301	K03X.00	Unsp nephrit synd, diff mesang prolif glomerulonephritis
35065	K03y.00	Other nephritis and nephrosis unspecified
27335	K03y000	Other nephritis and nephrosis in diseases EC
34669	K03y200	Other interstitial nephritis
44055	K03yz00	Other nephritis and nephrosis NOS
5182	K03z.00	Unspecified glomerulonephritis NOS
2266	K04..00	Acute renal failure
10837	K040.00	Acute renal tubular necrosis
46242	K041.00	Acute renal cortical necrosis
31369	K042.00	Acute renal medullary necrosis
57919	K043.00	Acute drug-induced renal failure
97198	K044.00	Acute renal failure due to urinary obstruction
35235	K04y.00	Other acute renal failure
25582	K04z.00	Acute renal failure NOS
512	K05..00	Chronic renal failure
10081	K05..11	Chronic uraemia
53852	K05..12	End stage renal failure
6712	K050.00	End stage renal failure
350	K06..00	Renal failure unspecified
4809	K06..11	Uraemia NOS
11787	K060.00	Renal impairment
6842	K060.11	Impaired renal function
8919	K08..00	Impaired renal function disorder
29638	K080.00	Renal osteodystrophy
68114	K080000	Phosphate-losing tubular disorders
34648	K080100	Renal dwarfism
50728	K080200	Renal infantilism
66062	K080300	Renal rickets
34637	K080z00	Renal osteodystrophy NOS
30310	K081.00	Nephrogenic diabetes insipidus
39840	K08y.00	Other impaired renal function disorder
56939	K08y000	Hypokalaemic nephropathy
41013	K08y300	Renal function impairment with growth failure
5072	K08y400	Renal tubular acidosis
9379	K08y500	Acute interstitial nephritis
50804	K08yz00	Other impaired renal function disorder NOS
48475	K08yz11	Renal acidaemia
25980	K08z.00	Impaired renal function disorder NOS
31581	K0A0.00	Acute nephritic syndrome
66136	K0A0100	Acute nephritic syndrome, focal+segmental glomerular lesions
66503	K0A0200	Acute nephritic syn, diffuse membranous glomerulonephritis
55389	K0A0300	Acut neph syn, diffuse mesangial prolifrative glomnephritis
54312	K0A0500	Acute neph syn, diffuse mesangiocapillary glomerulonephritis
61814	K0A0700	Acute nephrotic syndrm diffuse crescentic glomerulonephritis
71174	K0A1.00	Rapidly progressive nephritic syndrome
97734	K0A1100	Rapid progres nephritic syn focal+segmental glomerulr lesion
41285	K0A1200	Rapid progres neph syn diffuse membranous glomerulonephritis
58060	K0A1300	Rpd prog neph syn df mesangial prolifratv glomerulonephritis
50200	K0A1600	Rapid progressive nephritic syndrome, dense deposit disease
62320	K0A1700	Rapid progres nephritic syn df crescentic glomerulonephritis
61317	K0A2200	Recur+persist haematuria difus membranous glomerulonephritis
49642	K0A2300	Recur+persist haemuria df mesangial prolif glomerulnephritis
60484	K0A2500	Recur+persist hmuria df mesangiocapilary glomerulonephritis
60856	K0A2700	Recur+persist haematuria difus crescentic glomerulonephritis
85659	K0A2800	IgA nephropathy
21297	K0A3.00	Chronic nephritic syndrome
66505	K0A3000	Chronic nephritic syndrome, minor glomerular abnormality
40413	K0A3100	Chronic nephritic syndrm focal+segmental glomerular lesions
57168	K0A3200	Chron nephritic syndrom difuse membranous glomerulonephritis
56893	K0A3300	Chron neph syn difus mesangial prolifrtiv glomerulonephritis
73026	K0A3500	Chronic neph syn difus mesangiocapillary glomerulonephritis
60198	K0A3600	Chronic nephritic syndrome, dense deposit disease
60857	K0A3700	Chronic nephritic syn diffuse crescentic glomerulonephritis
61811	K0A4500	Isoltd prteinur+specfd morph les df mesangiocap glomnephr
36205	K0A5.00	Hereditary nephropathy not elsewhere classified
51113	K0A5000	Hereditary nephropathy NEC, minor glomerular abnormality
41239	K0A5100	Hereditary nephropathy NEC,focal+segmnt glomerular lesion
44270	K0A5200	Hereditry nephropathy NEC,difus membran glomerulnephritis
58671	K0A5300	Heredtry nephrpthy NEC difus mesangial prolif glomnephrit
91738	K0A5600	Hereditary nephropathy, NEC, dense deposit disease
62980	K0A5X00	Hereditary nephropathy, unspecif morphological changes
45523	K0B..00	Renal tubulo-interstitial disorders in diseases EC
64622	K0B1.00	Renal tubulo-interstitial disorder/ neoplastic diseases
41148	K0B4000	Renal tubulo-interstitial disorder in SLE
48057	K0B5.00	Renal tubulo-interstitial disordrs in transplant rejectn
8607	K0C0.00	Analgesic nephropathy
41159	K0C1.00	Nephropathy induced by other drugs meds and biologl substncs
57784	K0C2.00	Nephropathy induced by unspec drug medicament or biol subs
50893	K0C4.00	Toxic nephropathy, not elsewhere classified
8330	K0D..00	End-stage renal disease
49150	K0y..00	Other specified nephritis, nephrosis or nephrotic syndrome
15780	K0z..00	Nephritis, nephrosis and nephrotic syndrome NOS
4654	K100.00	Chronic pyelonephritis
57568	K100100	Chronic pyelonephritis with medullary necrosis
35360	K100400	Nonobstructive reflux-associated chronic pyelonephritis
48855	K100500	Chronic obstructive pyelonephritis
2939	K100600	Calculous pyelonephritis
48111	K100z00	Chronic pyelonephritis NOS
2546	K101.00	Acute pyelonephritis
64482	K101000	Acute pyelonephritis without medullary necrosis
38698	K101z00	Acute pyelonephritis NOS
38572	K104.00	Xanthogranulomatous pyelonephritis
53944	K10y.00	Pyelonephritis and pyonephrosis unspecified
1899	K10y000	Pyelonephritis unspecified
95710	K10y300	Pyelonephritis in diseases EC
59121	K10yz00	Unspecified pyelonephritis NOS
36273	K13..00	Other kidney and ureter disorders
8098	K13..11	Other kidney disorders
11992	K138.00	Vascular disorders of kidney
10460	K138.11	Renal vascular disorders
15340	K138z00	Renal vascular disorders NOS
44657	K13y.00	Other kidney and ureteric disorders
34675	K13yz00	Other kidney and ureteric disorders NOS
20516	K13yz11	Salt-losing nephritis
2991	K13z.00	Kidney and ureter disease NOS
71709	Kyu0900	[X]Unsp nephrit synd, diff mesang prolif glomerulonephritis
94842	Kyu1.00	[X]Renal tubulo-interstitial diseases
72478	Kyu1400	[X]Nephropathy induced by other drugs+biological substances
61930	Kyu2.00	[X]Renal failure
53945	Kyu2000	[X]Other acute renal failure
53940	Kyu2100	[X]Other chronic renal failure
70157	Kyu4.00	[X]Other disorders of kidney and ureter
96819	Kyu4000	[X]Other disorders resulting/impaired renal tubular function
56896	Kyu4100	[X]Other specified disorders of kidney and ureter
71314	L093.00	Renal failure following abortive pregnancy
70422	L093400	Uraemia following abortive pregnancy
47080	L162.00	Unspecified renal disease in pregnancy
38312	L162.12	Nephropathy NOS in pregnancy without hypertension
92579	L162.13	Uraemia in pregnancy without hypertension
54938	L162000	Unspecified renal disease in pregnancy unspecified
96724	L162100	Unspecified renal disease in pregnancy - delivered
15917	PD1..00	Congenital cystic kidney disease
20629	PD1..11	Congenital cystic renal disease
4503	PD11.00	Polycystic kidney disease
56852	PD11z00	Polycystic kidney disease NOS
9240	PD11z11	Cystic kidney disease NEC
59018	PD1y.00	Other specified congenital cystic kidney disease
67486	PD1y000	Fibrocystic kidney disease
59031	PD1yz00	Other congenital cystic kidney disease NOS
50331	PD1z.00	Congenital cystic kidney disease NOS
72877	Pyu7000	[X]Other cystic kidney diseases
73373	Q001.00	Fetus or neonate affected by maternal renal/urinary disease
47342	Q48y000	Congenital renal failure
48639	SP01500	Mechanical complication of dialysis catheter
46438	SP05613	[X] Peritoneal dialysis associated peritonitis
59315	SP07G00	Stenosis of arteriovenous dialysis fistula
11553	SP08300	Kidney transplant failure and rejection
11554	SP15400	Renal failure as a complication of care
39598	SP15411	Kidney failure as a complication of care
24292	SP15412	Post operative renal failure
55858	SP15413	Uraemia - post operative
96184	TA02000	Accid cut,puncture,perf,h'ge - kidney dialysis
69266	TA22000	Failure of sterile precautions during kidney dialysis
54990	TB00100	Kidney transplant with complication, without blame
18774	TB00111	Renal transplant with complication, without blame
28158	TB11.00	Kidney dialysis with complication, without blame
66714	TB11.11	Renal dialysis with complication, without blame
54844	U612200	[X]Failure sterile precautions dur kidney dialys/other perf
74905	Z1A2.00	Haemodialysis training
60446	Z919.00	Care of haemodialysis equipment
72336	Z919100	Priming haemodialysis lines
60498	Z919300	Reversing haemodialysis lines
63502	Z91A.00	Peritoneal dialysis bag procedure
5911	ZV42000	[V]Kidney transplanted
22252	ZV45100	[V]Renal dialysis status
60743	ZV56.00	[V]Aftercare involving intermittent dialysis
46145	ZV56011	[V]Aftercare involving renal dialysis NOS
52088	ZV56100	[V]Preparatory care for dialysis
63488	ZV56y00	[V]Other specified aftercare involving intermittent dialysis
45160	ZV56y11	[V]Aftercare involving peritoneal dialysis
63038	ZV56z00	[V]Unspecified aftercare involving intermittent dialysis
69760	ZVu3G00	[X]Other dialysis
