prodcode	productname	drugsubstance	bnfcode	bnfchapter
5687	Miconazole 0.16% dry powder spray	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
5716	Eryacne 4 gel (Galderma (UK) Ltd)	Erythromycin	13060100	Topical Preparations For Acne
5734	Gyno-Daktarin 1200mg vaginal capsules (Janssen-Cilag Ltd)	Miconazole nitrate	07020250	Preparations For Vaginal And Vulval Candidiasis
5857	Diflucan 50mg/5ml oral suspension (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
5904	Diflucan 200mg/5ml oral suspension (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
6048	Daktacort Hydrocortisone cream (McNeil Products Ltd)	Hydrocortisone/Miconazole nitrate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
6120	Ezetrol 10mg tablets (Merck Sharp & Dohme Ltd)	Ezetimibe	02120000	Lipid-regulating Drugs
6121	Klaricid XL 500mg tablets (Mylan)	Clarithromycin	05010500	Macrolides
6426	Erythromycin 2% solution	Erythromycin	13060100	Topical Preparations For Acne
6497	Clarithromycin 500mg with metronidazole 400mg with lansoprazole 30mg triple pack	Metronidazole/Lansoprazole/Clarithromycin	01030500/05010500	Proton Pump Inhibitors/Macrolides
6623	Klaricid 500 tablets (Abbott Laboratories Ltd)	Clarithromycin	05010500	Macrolides
6803	Clarithromycin 500mg modified-release tablets	Clarithromycin	05010500	Macrolides
7447	Miconazole 250mg Tablet	Miconazole Nitrate	05020000	Antifungal Drugs
7540	Lipantil Micro 267 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
7552	Simvastatin 20mg / Ezetimibe 10mg tablets	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
7628	Fucidin intertulle sodium fusidate Impregnated gauze dressing 10cmx10cm (LEO Pharma)	Sodium Fusidate	72072000	Tulle Dressings
8067	Miconazole Twin pack	Miconazole Nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
8082	Gemfibrozil 600mg tablets	Gemfibrozil	02120300	Fibrates
8211	Benzoyl peroxide 5% with Erythromycin 3% gel	Benzoyl Peroxide/Erythromycin	13060101/13060102	Benzoyl Peroxide And Azelaic Acid For Acne/Topical Antibacterials For Acne
8706	Modalim 100mg tablets (Sanofi)	Ciprofibrate	02120300	Fibrates
9148	Erythromid ds 500mg Tablet (Abbott Laboratories Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
9294	Miconazole 5% Denture lacquer	Miconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
9314	Hydrocortisone 1% / Miconazole 2% cream	Hydrocortisone/Miconazole nitrate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
9339	Fucidin intertulle 2% 2% w/v Intertulle (LEO Pharma)	Sodium Fusidate	13100102	Antibacterial Preparations Also Used Systemically (for Skin Conditions)
9434	Erymin 250mg/5ml Oral suspension (Elan Pharma)	Erythromycin Ethyl Succinate	05010500	Macrolides
9491	Fenofibrate micronised 67mg capsules	Fenofibrate micronised	02120300	Fibrates
9583	Klaricid 250mg/5ml Oral suspension (Abbott Laboratories Ltd)	Clarithromycin	05010500	Macrolides
9629	Daktarin Aktiv 0.16% spray powder (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
9639	Fenofibrate micronised 160mg tablets	Fenofibrate micronised	02120300	Fibrates
9656	Erythromycin 2% gel	Erythromycin	00000000	Unknown
9716	Supralip 160mg tablets (Mylan)	Fenofibrate micronised	02120300	Fibrates
9760	Tretinoin 0.025% / Erythromycin 4% solution	Erythromycin/Tretinoin	13060103	Topical Retinoids And Related Preparations For Acne
9903	Erythromycin estolate 250mg capsules	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
9957	Daktarin Aktiv 2% cream (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
9997	Isotretinoin 0.05% / Erythromycin 2% gel	Isotretinoin/Erythromycin	13060103	Topical Retinoids And Related Preparations For Acne
10172	Simvastatin 40mg / Ezetimibe 10mg tablets	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
10183	Simvastatin 40mg with ezetimibe 10mg tablet	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
10190	Erymax 250mg gastro-resistant capsules (Teva UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
10206	Simvastatin 80mg with ezetimibe 10mg tablet	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
10326	Clarithromycin 125mg granules straws	Clarithromycin	00000000	Unknown
10389	Miconazole 1.2g Pessary	Miconazole Nitrate	07020200	Vaginal And Vulval Infections
10634	Gyno-daktarin Tampon (Janssen-Cilag Ltd)	Miconazole Nitrate	07020200	Vaginal And Vulval Infections
10903	Miconazole 1.2g vaginal capsules	Miconazole nitrate	07020250	Preparations For Vaginal And Vulval Candidiasis
11433	Clarithromycin 500mg with lansoprazole 30mg and amoxicillin 500mg triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
11611	Rommix 250 EC tablets (Ashbourne Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
11703	Miconazole 2% / Fluprednidene 0.1% cream	Miconazole nitrate/Fluprednidene acetate	00000000	Unknown
11724	Acorvio Plus cream (Ferndale Pharmaceuticals Ltd)	Miconazole nitrate/Fluprednidene acetate	00000000	Unknown
11810	Fluconazole 200mg/5ml oral suspension	Fluconazole	05020100	Triazole Antifungals
11815	Simvastatin 20mg with ezetimibe 10mg tablet	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
11820	Clotrimazole 2% cream with Fluconazole 150mg capsules	Fluconazole/Clotrimazole	05020000/07020200	Antifungal Drugs/Vaginal And Vulval Infections
12330	Erythromycin ethylsuccinate 1g sachets	Erythromycin Ethyl Succinate	05010500	Macrolides
13120	Erythromycin ethyl succinate 250mg/5ml oral suspension (A A H Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
13167	Erythromycin ethyl succinate 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
13323	Clarithromycin 500mg powder for solution for infusion vials	Clarithromycin	05010500	Macrolides
13494	Sandimmun 100mg/ml oral solution (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
13556	Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
13635	Erythromycin ethylsuccinate 250mg sachets	Erythromycin Ethyl Succinate	05010500	Macrolides
13881	Aknemycin Plus solution (Almirall Ltd)	Erythromycin/Tretinoin	13060100	Topical Preparations For Acne
14171	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free	Erythromycin ethyl succinate	05010500	Macrolides
14219	Simvastatin 80mg / Ezetimibe 10mg tablets	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
14261	Canesten Thrush Oral 150mg capsules (Bayer Plc)	Fluconazole	05020100	Triazole Antifungals
14379	Lipantil Micro 67 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
14429	Erythromycin 125mg sprinkle capsules	Erythromycin	05010500	Macrolides
14511	Erymax sprinkle 125mg Capsule (Elan Pharma)	Erythromycin	05010500	Macrolides
14816	Klaricid Adult 250mg granules sachets (Mylan)	Clarithromycin	05010500	Macrolides
15143	Daktarin 0.16% Spray powder (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
15290	Lansoprazole with amoxicillin and clarithromycin 30mg + 500mg + 500mg Triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
15428	Femeron 2% w/v Cream (Johnson+Johnson MSD Consumer Pharmaceuticals)	Miconazole nitrate	07020200	Vaginal And Vulval Infections
15596	Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
15713	Erythromycin ethylsuccinate 500mg sachets	Erythromycin Ethyl Succinate	05010500	Macrolides
16035	Ciclosporin 10mg capsules	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
16137	Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
16186	Inegy 10mg/80mg tablets (Merck Sharp & Dohme Ltd)	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
16693	Monistat 2% Cream (Ward Surgical & Supplies Ltd)	Miconazole nitrate	07020200	Vaginal And Vulval Infections
16695	Daktarin 250mg Tablet (Janssen-Cilag Ltd)	Miconazole Nitrate	05020000	Antifungal Drugs
16747	Erythroped 250mg Sachets (Abbott Laboratories Ltd)	Erythromycin Ethyl Succinate	05010500	Macrolides
17059	Inegy 10mg/40mg tablets (Merck Sharp & Dohme Ltd)	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
17168	Dermonistat 2% Cream (Ward Surgical & Supplies Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
17207	Ilosone 250mg Capsule (Dista Products Ltd)	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
17614	Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd)	Bezafibrate	02120300	Fibrates
17645	Clarithromycin 250mg granules straws	Clarithromycin	00000000	Unknown
18643	Ilosone 500mg Tablet (Dista Products Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
18682	Ilosone 125mg/5ml Liquid (Dista Products Ltd)	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
18772	Dumicoat 5% Denture lacquer (Actavis UK Ltd)	Miconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
19222	Ciclosporin 2% eye drops preservative free	Ciclosporin	11080000/18010000	Miscellaneous Ophthalmic Preparations/Miscellaneous Specials
19330	Ilosone 250mg/5ml Liquid (Dista Products Ltd)	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
19370	Ciclosporin 50mg/ml concentrate solution infusion	Ciclosporin	01050300/08020200	Drugs Affecting The Immune Response (in Chronic Bowel Disorders)/Corticosteroids And Other Immunosuppressants
20460	Hydrocortisone with sodium fusidate 1%with2% Ointment	Hydrocortisone Acetate/Sodium Fusidate	13040200/13100102	Mild Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
21020	Inegy 10mg/20mg tablets (Merck Sharp & Dohme Ltd)	Simvastatin/Ezetimibe	02120200/02120400	Ezetimibe/Statins
21538	Daktarin 2% cream (McNeil Products Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
21623	Femeron 1.2g Pessary (Johnson+Johnson MSD Consumer Pharmaceuticals)	Miconazole Nitrate	07020200	Vaginal And Vulval Infections
21808	Rommix 125mg/5ml Oral suspension sugar free (Ashbourne Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
22063	Sodium fusidate 500mg powder and solvent for solution for infusion vials	Sodium fusidate	05010700	Other Antibacterials
23017	Erycen 500mg Tablet (Berk Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
23055	Miconazole with benzoyl peroxide 2% with 5% Cream	Miconazole Nitrate/Benzoyl Peroxide	13060101/13060102	Benzoyl Peroxide And Azelaic Acid For Acne/Topical Antibacterials For Acne
23153	Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
23244	Ilotycin 250mg Tablet (Eli Lilly and Company Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
23559	Acorvio 2% cream (Ferndale Pharmaceuticals Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
23954	Erythrolar 500mg Tablet (Lagap)	Erythromycin stearate	05010500	Macrolides
24127	Erythromycin 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
24129	Erythromycin 250mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
24220	Arpimycin 250mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
24883	Sodium fusidate 2% gauze dressing	Sodium Fusidate	13100102	Antibacterial Preparations Also Used Systemically (for Skin Conditions)
25278	Rommix 500mg Tablet (Ashbourne Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
25280	Tiloryth 250mg gastro-resistant capsules (Tillomed Laboratories Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
25595	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
25751	Erythromycin ethylsuccinate (coated) 250mg/5ml oral suspension sugar free	Erythromycin Ethyl Succinate	05010500	Macrolides
26059	Clarithromycin 187.5mg granules straws	Clarithromycin	00000000	Unknown
26189	Erythromycin 1g powder for solution for infusion vials	Erythromycin lactobionate	05010500	Macrolides
26365	Erythromycin 500mg Tablet (IVAX Pharmaceuticals UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
26790	Sandimmun 50mg/ml Concentrate for solution for infusion (Novartis Pharmaceuticals UK Ltd)	Ciclosporin	01050300/08020200	Drugs Affecting The Immune Response (in Chronic Bowel Disorders)/Corticosteroids And Other Immunosuppressants
