medcode	readcode	readterm
44723	7925200	Single anast mammary art to left ant descend coronary art
51507	7925300	Single anastomosis of mammary artery to coronary artery NEC
22647	7925311	LIMA single anastomosis
68123	7925312	RIMA single anastomosis
68139	7925400	Single implantation of mammary artery into coronary artery
37719	7925y00	Connection of mammary artery to coronary artery OS
56990	7925z00	Connection of mammary artery to coronary artery NOS
96804	7926.00	Connection of other thoracic artery to coronary artery
62608	7926000	Double anastom thoracic arteries to coronary arteries NEC
67591	7926200	Single anastomosis of thoracic artery to coronary artery NEC
60753	7926300	Single implantation thoracic artery into coronary artery NEC
72780	7926z00	Connection of other thoracic artery to coronary artery NOS
47788	7927.00	Other open operations on coronary artery
48206	7927300	Transposition of coronary artery NEC
51702	7927400	Exploration of coronary artery
5744	7927500	Open angioplasty of coronary artery
95382	7927y00	Other specified other open operation on coronary artery
41757	7927z00	Other open operation on coronary artery NOS
2901	7928.00	Transluminal balloon angioplasty of coronary artery
5703	7928.11	Percutaneous balloon coronary angioplasty
18670	7928000	Percut transluminal balloon angioplasty one coronary artery
33735	7928100	Percut translum balloon angioplasty mult coronary arteries
42462	7928200	Percut translum balloon angioplasty bypass graft coronary a
86071	7928300	Percut translum cutting balloon angioplasty coronary artery
41547	7928y00	Transluminal balloon angioplasty of coronary artery OS
732	7928z00	Transluminal balloon angioplasty of coronary artery NOS
24888	7929.00	Other therapeutic transluminal operations on coronary artery
22828	7929000	Percutaneous transluminal laser coronary angioplasty
33650	7929100	Percut transluminal coronary thrombolysis with streptokinase
40996	7929111	Percut translum coronary thrombolytic therapy- streptokinase
66583	7929200	Percut translum inject therap subst to coronary artery NEC
19046	7929300	Rotary blade coronary angioplasty
8942	7929400	Insertion of coronary artery stent
42304	7929500	Insertion of drug-eluting coronary artery stent
93618	7929600	Percutaneous transluminal atherectomy of coronary artery
6182	7929y00	Other therapeutic transluminal op on coronary artery OS
31679	7929z00	Other therapeutic transluminal op on coronary artery NOS
34965	792A.00	Diagnostic transluminal operations on coronary artery
56905	792Ay00	Diagnostic transluminal operation on coronary artery OS
61248	792Az00	Diagnostic transluminal operation on coronary artery NOS
33620	792B.00	Repair of coronary artery NEC
22020	792B000	Endarterectomy of coronary artery NEC
69247	792By00	Other specified repair of coronary artery
44585	792Bz00	Repair of coronary artery NOS
55598	792C.00	Other replacement of coronary artery
55092	792C000	Replacement of coronary arteries using multiple methods
93828	792Cy00	Other specified replacement of coronary artery
70755	792Cz00	Replacement of coronary artery NOS
34963	792D.00	Other bypass of coronary artery
3159	792Dy00	Other specified other bypass of coronary artery
33471	792Dz00	Other bypass of coronary artery NOS
31571	792y.00	Other specified operations on coronary artery
10603	792z.00	Coronary artery operations NOS
43939	793G.00	Perc translumin balloon angioplasty stenting coronary artery
60067	793G000	Perc translum ball angio insert 1-2 drug elut stents cor art
87849	793G100	Perc tran ball angio ins 3 or more drug elut stents cor art
85947	793G200	Perc translum balloon angioplasty insert 1-2 stents cor art
92927	793G300	Percutaneous cor balloon angiop 3 more stents cor art NEC
61208	793Gz00	Perc translum balloon angioplasty stenting coronary art NOS
93706	793H000	Percutaneous transluminal balloon dilation cardiac conduit
38813	7A54500	Rotary blade angioplasty
20903	7A6G100	Peroperative angioplasty
64923	7A6H300	Prosthetic graft patch angioplasty
66921	7A6H400	Percutaneous transluminal angioplasty of vascular graft
22262	G1yz100	Rheumatic left ventricular failure
21837	G232.00	Hypertensive heart&renal dis wth (congestive) heart failure
57987	G234.00	Hyperten heart&renal dis+both(congestv)heart and renal fail
240	G3...00	Ischaemic heart disease
1792	G3...13	IHD - Ischaemic heart disease
241	G30..00	Acute myocardial infarction
13566	G30..11	Attack - heart
2491	G30..12	Coronary thrombosis
30421	G30..13	Cardiac rupture following myocardial infarction (MI)
1204	G30..14	Heart attack
1677	G30..15	MI - acute myocardial infarction
13571	G30..16	Thrombosis - coronary
17689	G30..17	Silent myocardial infarction
12139	G300.00	Acute anterolateral infarction
5387	G301.00	Other specified anterior myocardial infarction
40429	G301000	Acute anteroapical infarction
17872	G301100	Acute anteroseptal infarction
14897	G301z00	Anterior myocardial infarction NOS
8935	G302.00	Acute inferolateral infarction
29643	G303.00	Acute inferoposterior infarction
23892	G304.00	Posterior myocardial infarction NOS
14898	G305.00	Lateral myocardial infarction NOS
63467	G306.00	True posterior myocardial infarction
3704	G307.00	Acute subendocardial infarction
9507	G307000	Acute non-Q wave infarction
10562	G307100	Acute non-ST segment elevation myocardial infarction
1678	G308.00	Inferior myocardial infarction NOS
30330	G309.00	Acute Q-wave infarct
17133	G30A.00	Mural thrombosis
32854	G30B.00	Acute posterolateral myocardial infarction
29758	G30X.00	Acute transmural myocardial infarction of unspecif site
12229	G30X000	Acute ST segment elevation myocardial infarction
34803	G30y.00	Other acute myocardial infarction
28736	G30y000	Acute atrial infarction
62626	G30y100	Acute papillary muscle infarction
41221	G30y200	Acute septal infarction
46017	G30yz00	Other acute myocardial infarction NOS
14658	G30z.00	Acute myocardial infarction NOS
27951	G31..00	Other acute and subacute ischaemic heart disease
23579	G310.00	Postmyocardial infarction syndrome
15661	G310.11	Dressler's syndrome
36523	G311.00	Preinfarction syndrome
4656	G311.11	Crescendo angina
39655	G311.12	Impending infarction
1431	G311.13	Unstable angina
19655	G311.14	Angina at rest
55137	G311011	MI - myocardial infarction aborted
7347	G311100	Unstable angina
17307	G311200	Angina at rest
34328	G311300	Refractory angina
18118	G311400	Worsening angina
11983	G311500	Acute coronary syndrome
54251	G311z00	Preinfarction syndrome NOS
39449	G312.00	Coronary thrombosis not resulting in myocardial infarction
9413	G31y.00	Other acute and subacute ischaemic heart disease
9276	G31y000	Acute coronary insufficiency
68357	G31y100	Microinfarction of heart
39693	G31y200	Subendocardial ischaemia
21844	G31y300	Transient myocardial ischaemia
27977	G31yz00	Other acute and subacute ischaemic heart disease NOS
4017	G32..00	Old myocardial infarction
16408	G32..11	Healed myocardial infarction
17464	G32..12	Personal history of myocardial infarction
1430	G33..00	Angina pectoris
20095	G330.00	Angina decubitus
18125	G330000	Nocturnal angina
29902	G330z00	Angina decubitus NOS
12986	G331.00	Prinzmetal's angina
11048	G331.11	Variant angina pectoris
36854	G332.00	Coronary artery spasm
25842	G33z.00	Angina pectoris NOS
66388	G33z000	Status anginosus
54535	G33z100	Stenocardia
7696	G33z200	Syncope anginosa
1414	G33z300	Angina on effort
32450	G33z400	Ischaemic chest pain
9555	G33z500	Post infarct angina
26863	G33z600	New onset angina
12804	G33z700	Stable angina
28554	G33zz00	Angina pectoris NOS
28138	G34..00	Other chronic ischaemic heart disease
5413	G340.00	Coronary atherosclerosis
1655	G340.11	Triple vessel disease of the heart
1344	G340.12	Coronary artery disease
3999	G340000	Single coronary vessel disease
5254	G340100	Double coronary vessel disease
6331	G341.00	Aneurysm of heart
27484	G341.11	Cardiac aneurysm
2155	G341000	Ventricular cardiac aneurysm
67087	G341100	Other cardiac wall aneurysm
105250	G341111	Mural cardiac aneurysm
59193	G341200	Aneurysm of coronary vessels
91774	G341300	Acquired atrioventricular fistula of heart
41677	G341z00	Aneurysm of heart NOS
36609	G342.00	Atherosclerotic cardiovascular disease
7320	G343.00	Ischaemic cardiomyopathy
29421	G344.00	Silent myocardial ischaemia
34633	G34y.00	Other specified chronic ischaemic heart disease
24540	G34y000	Chronic coronary insufficiency
23078	G34y100	Chronic myocardial ischaemia
35713	G34yz00	Other specified chronic ischaemic heart disease NOS
15754	G34z.00	Other chronic ischaemic heart disease NOS
18889	G34z000	Asymptomatic coronary heart disease
18842	G35..00	Subsequent myocardial infarction
45809	G350.00	Subsequent myocardial infarction of anterior wall
38609	G351.00	Subsequent myocardial infarction of inferior wall
72562	G353.00	Subsequent myocardial infarction of other sites
46166	G35X.00	Subsequent myocardial infarction of unspecified site
36423	G36..00	Certain current complication follow acute myocardial infarct
24126	G360.00	Haemopericardium/current comp folow acut myocard infarct
23708	G361.00	Atrial septal defect/curr comp folow acut myocardal infarct
37657	G362.00	Ventric septal defect/curr comp fol acut myocardal infarctn
59189	G363.00	Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
59940	G364.00	Ruptur chordae tendinae/curr comp fol acute myocard infarct
69474	G365.00	Rupture papillary muscle/curr comp fol acute myocard infarct
29553	G366.00	Thrombosis atrium,auric append&vent/curr comp foll acute MI
8568	G37..00	Cardiac syndrome X
32272	G38..00	Postoperative myocardial infarction
46112	G380.00	Postoperative transmural myocardial infarction anterior wall
46276	G381.00	Postoperative transmural myocardial infarction inferior wall
106812	G383.00	Postoperative transmural myocardial infarction unspec site
41835	G384.00	Postoperative subendocardial myocardial infarction
68748	G38z.00	Postoperative myocardial infarction, unspecified
105479	G39..00	Coronary microvascular disease
22383	G3y..00	Other specified ischaemic heart disease
1676	G3z..00	Ischaemic heart disease NOS
35119	G501.00	Post infarction pericarditis
2062	G58..00	Heart failure
1223	G58..11	Cardiac failure
398	G580.00	Congestive heart failure
2906	G580.11	Congestive cardiac failure
10079	G580.12	Right heart failure
10154	G580.13	Right ventricular failure
9524	G580.14	Biventricular failure
23707	G580000	Acute congestive heart failure
32671	G580100	Chronic congestive heart failure
27884	G580200	Decompensated cardiac failure
11424	G580300	Compensated cardiac failure
884	G581.00	Left ventricular failure
23481	G581.11	Asthma - cardiac
43618	G581.12	Pulmonary oedema - acute
5942	G581.13	Impaired left ventricular function
5255	G581000	Acute left ventricular failure
27964	G582.00	Acute heart failure
4024	G58z.00	Heart failure NOS
17278	G58z.12	Cardiac failure NOS
2418	G6...00	Cerebrovascular disease
5051	G61..00	Intracerebral haemorrhage
6960	G61..11	CVA - cerebrovascular accid due to intracerebral haemorrhage
18604	G61..12	Stroke due to intracerebral haemorrhage
31595	G610.00	Cortical haemorrhage
40338	G611.00	Internal capsule haemorrhage
46316	G612.00	Basal nucleus haemorrhage
13564	G613.00	Cerebellar haemorrhage
7912	G614.00	Pontine haemorrhage
62342	G615.00	Bulbar haemorrhage
30045	G616.00	External capsule haemorrhage
30202	G617.00	Intracerebral haemorrhage, intraventricular
57315	G618.00	Intracerebral haemorrhage, multiple localized
31060	G61X.00	Intracerebral haemorrhage in hemisphere, unspecified
28314	G61X000	Left sided intracerebral haemorrhage, unspecified
19201	G61X100	Right sided intracerebral haemorrhage, unspecified
3535	G61z.00	Intracerebral haemorrhage NOS
23671	G63y000	Cerebral infarct due to thrombosis of precerebral arteries
24446	G63y100	Cerebral infarction due to embolism of precerebral arteries
8837	G64..00	Cerebral arterial occlusion
5363	G64..11	CVA - cerebral artery occlusion
569	G64..12	Infarction - cerebral
6155	G64..13	Stroke due to cerebral arterial occlusion
16517	G640.00	Cerebral thrombosis
36717	G640000	Cerebral infarction due to thrombosis of cerebral arteries
15019	G641.00	Cerebral embolism
34758	G641.11	Cerebral embolus
27975	G641000	Cerebral infarction due to embolism of cerebral arteries
3149	G64z.00	Cerebral infarction NOS
15252	G64z.11	Brainstem infarction NOS
5602	G64z.12	Cerebellar infarction
25615	G64z000	Brainstem infarction
47642	G64z100	Wallenberg syndrome
5185	G64z111	Lateral medullary syndrome
9985	G64z200	Left sided cerebral infarction
10504	G64z300	Right sided cerebral infarction
26424	G64z400	Infarction of basal ganglia
504	G65..00	Transient cerebral ischaemia
1433	G65..12	Transient ischaemic attack
44765	G653.00	Carotid artery syndrome hemispheric
50594	G654.00	Multiple and bilateral precerebral artery syndromes
19354	G65y.00	Other transient cerebral ischaemia
1895	G65z.00	Transient cerebral ischaemia NOS
55247	G65z000	Impending cerebral ischaemia
16507	G65z100	Intermittent cerebral ischaemia
15788	G65zz00	Transient cerebral ischaemia NOS
1469	G66..00	Stroke and cerebrovascular accident unspecified
1298	G66..11	CVA unspecified
6253	G66..12	Stroke unspecified
6116	G66..13	CVA - Cerebrovascular accident unspecified
18689	G660.00	Middle cerebral artery syndrome
19280	G661.00	Anterior cerebral artery syndrome
19260	G662.00	Posterior cerebral artery syndrome
8443	G663.00	Brain stem stroke syndrome
17322	G664.00	Cerebellar stroke syndrome
33499	G665.00	Pure motor lacunar syndrome
51767	G666.00	Pure sensory lacunar syndrome
7780	G667.00	Left sided CVA
12833	G668.00	Right sided CVA
16956	G669.00	Cerebral palsy, not congenital or infantile, acute
39344	G676000	Cereb infarct due cerebral venous thrombosis, nonpyogenic
40758	G6W..00	Cereb infarct due unsp occlus/stenos precerebr arteries
33543	G6X..00	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
5943	G73..00	Other peripheral vascular disease
3530	G73z.00	Peripheral vascular disease NOS
1517	G73z000	Intermittent claudication
2760	G73zz00	Peripheral vascular disease NOS
39546	Gyu3000	[X]Other forms of angina pectoris
96838	Gyu3400	[X]Acute transmural myocardial infarction of unspecif site
109035	Gyu3500	[X]Subsequent myocardial infarction of other sites
99991	Gyu3600	[X]Subsequent myocardial infarction of unspecified site
91627	Gyu6300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
53745	Gyu6400	[X]Other cerebral infarction
90572	Gyu6500	[X]Occlusion and stenosis of other precerebral arteries
92036	Gyu6600	[X]Occlusion and stenosis of other cerebral arteries
96630	Gyu6F00	[X]Intracerebral haemorrhage in hemisphere, unspecified
94482	Gyu6G00	[X]Cereb infarct due unsp occlus/stenos precerebr arteries
20822	Q48y100	Congenital cardiac failure
23566	Q490.00	Neonatal cardiac failure
12734	SP07600	Coronary artery bypass graft occlusion
101251	ZV12D00	[V]Personal history of transient ischaemic attack
18913	ZV45700	[V]Presence of aortocoronary bypass graft
18643	ZV45800	[V]Presence of coronary angioplasty implant and graft
5030	ZV45K00	[V]Presence of coronary artery bypass graft
5674	ZV45K11	[V]Presence of coronary artery bypass graft - CABG
6980	ZV45L00	[V]Status following coronary angioplasty NOS
