ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
258541000033118	320018007	Ciprofibrate 100mg tablets	Ciprofibrate 100mg tablets	Tablet	Oral	Ciprofibrate	100.000mg	2120000	NA
936941000033113	16207911000001106	Modalim 100mg tablets (Lexon (UK) Ltd)	Modalim 100mg tablets	Tablet	Oral	Ciprofibrate	100.000mg		NA
466841000033113	321196004	Diazepam 2mg tablets	Diazepam 2mg tablets	Tablet	Oral	Diazepam	2.000mg	15010401	NA
1428241000033118	9107211000001108	Tensium 2mg tablets (DDSA Pharmaceuticals Ltd)	Tensium 2mg tablets	Tablet	Oral	Diazepam	2.000mg	15010401	NA
466941000033117	321197008	Diazepam 5mg tablets	Diazepam 5mg tablets	Tablet	Oral	Diazepam	5.000mg	15010401	NA
466741000033115	321198003	Diazepam 10mg tablets	Diazepam 10mg tablets	Tablet	Oral	Diazepam	10.000mg	15010401	NA
1428141000033113	9106811000001108	Tensium 10mg tablets (DDSA Pharmaceuticals Ltd)	Tensium 10mg tablets	Tablet	Oral	Diazepam	10.000mg	15010401	NA
2762341000033113	321199006	Diazepam 2mg/5ml oral solution	Diazepam 2mg/5ml oral solution	Oral solution	Oral	Diazepam	400.000microgram/1.000ml	15010401	NA
1728141000033116	321203006	Diazepam 5mg/5ml oral solution	Diazepam 5mg/5ml oral solution	Oral solution	Oral	Diazepam	1.000mg/1.000ml	15010401	NA
460041000033115	321238008	Diazepam 10mg suppositories	Diazepam 10mg suppositories	Suppository	Rectal	Diazepam	10.000mg		NA
1502941000033114	3824311000001107	Valclair 10mg suppositories (Durbin Plc)	Valclair 10mg suppositories	Suppository	Rectal	Diazepam	10.000mg		NA
458341000033112	323069006	Diazepam 2.5mg/1.25ml rectal solution tube	Diazepam 2.5mg/1.25ml rectal solution tube	Enema	Rectal	Diazepam	2.000mg/1.000ml	4080300	NA
458041000033110	283311000001103	Diazepam 2.5mg RecTubes (Wockhardt UK Ltd)	Diazepam 2.5mg RecTubes	Enema	Rectal	Diazepam	2.000mg/1.000ml	10020200/ 15010401	NA
1383341000033115	82011000001104	Stesolid 5mg rectal tube (Accord Healthcare Ltd)	Stesolid 5mg rectal tube	Enema	Rectal	Diazepam	2.000mg/1.000ml	10020200/ 15010401	NA
458241000033119	603811000001108	Diazepam 5mg RecTubes (Wockhardt UK Ltd)	Diazepam 5mg RecTubes	Enema	Rectal	Diazepam	2.000mg/1.000ml	10020200/ 15010401	NA
458641000033116	323073009	Diazepam 5mg/2.5ml rectal solution tube	Diazepam 5mg/2.5ml rectal solution tube	Enema	Rectal	Diazepam	2.000mg/1.000ml	15010401	NA
458541000033117	323074003	Diazepam 10mg/2.5ml rectal solution tube	Diazepam 10mg/2.5ml rectal solution tube	Enema	Rectal	Diazepam	4.000mg/1.000ml	15010401	NA
1383241000033113	142611000001108	Stesolid 10mg rectal tube (Accord Healthcare Ltd)	Stesolid 10mg rectal tube	Enema	Rectal	Diazepam	4.000mg/1.000ml	10020200/ 15010401	NA
457941000033112	26811000001102	Diazepam 10mg RecTubes (Wockhardt UK Ltd)	Diazepam 10mg RecTubes	Enema	Rectal	Diazepam	4.000mg/1.000ml	10020200/ 15010401	NA
144841000033114	3694811000001103	Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd)	Betnesol 500microgram soluble tablets	Soluble tablet	Oral	Betamethasone sodium phosphate	500.000microgram		NA
144641000033113	325344004	Betamethasone 500microgram soluble tablets sugar free	Betamethasone 500microgram soluble tablets sugar free	Soluble tablet	Oral	Betamethasone sodium phosphate	500.000microgram	12030100	NA
145441000033110	325345003	Betamethasone 500microgram tablets	Betamethasone 500microgram tablets	Tablet	Oral	Betamethasone	500.000microgram		NA
143041000033117	3804311000001103	Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd)	Betnelan 500microgram tablets	Tablet	Oral	Betamethasone	500.000microgram		NA
745141000033114	330037008	Hydroxychloroquine 200mg tablets	Hydroxychloroquine 200mg tablets	Tablet	Oral	Hydroxychloroquine sulfate	200.000mg	10010300	NA
1094341000033117	663811000001107	Plaquenil 200mg tablets (Sanofi)	Plaquenil 200mg tablets	Tablet	Oral	Hydroxychloroquine sulfate	200.000mg	10010300	NA
5411441000033118	17042211000001100	Quinoric 200mg tablets (Bristol Laboratories Ltd)	Quinoric 200mg tablets	Tablet	Oral	Hydroxychloroquine sulfate	200.000mg		NA
1898841000033117	499111000001102	Arava 10mg tablets (Sanofi)	Arava 10mg tablets	Tablet	Oral	Leflunomide	10.000mg	10010300	NA
1898541000033119	330057007	Leflunomide 10mg tablets	Leflunomide 10mg tablets	Tablet	Oral	Leflunomide	10.000mg	10010300	NA
1898641000033118	330058002	Leflunomide 20mg tablets	Leflunomide 20mg tablets	Tablet	Oral	Leflunomide	20.000mg	10010300	NA
1898941000033113	62411000001105	Arava 20mg tablets (Sanofi)	Arava 20mg tablets	Tablet	Oral	Leflunomide	20.000mg	10010300	NA
1899041000033116	404111000001101	Arava 100mg tablets (Sanofi)	Arava 100mg tablets	Tablet	Oral	Leflunomide	100.000mg	10010300	NA
1898741000033110	330059005	Leflunomide 100mg tablets	Leflunomide 100mg tablets	Tablet	Oral	Leflunomide	100.000mg	10010300	NA
377741000033118	330079002	Colchicine 500microgram tablets	Colchicine 500microgram tablets	Tablet	Oral	Colchicine	500.000microgram	10010400	NA
127541000033116	4066611000001102	Betnesol-N eye ointment (Focus Pharmaceuticals Ltd)	Betnesol-N eye ointment	Eye ointment	Ocular	Betamethasone sodium phosphate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram		NA
3229741000033110	330440001	Neomycin 0.5% / Betamethasone 0.1% eye ointment	Neomycin 0.5% / Betamethasone 0.1% eye ointment	Eye ointment	Ocular	Betamethasone sodium phosphate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram		NA
134541000033111	330442009	Betamethasone 0.1% eye ointment	Betamethasone 0.1% eye ointment	Eye ointment	Ocular	Betamethasone sodium phosphate	1.000mg/1.000gram	11040100	NA
134741000033115	3807311000001107	Betnesol 0.1% eye ointment (Focus Pharmaceuticals Ltd)	Betnesol 0.1% eye ointment	Eye ointment	Ocular	Betamethasone sodium phosphate	1.000mg/1.000gram	11040100	NA
3229641000033118	330953008	Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops	Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate/ Neomycin sulfate	1.000mg/1.000ml + 5.000mg/1.000ml	12010100	NA
2925441000033111	2839411000001109	Vistamethasone N ear/eye/nose drops (Martindale Pharmaceuticals Ltd)	Vistamethasone N ear/eye/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate/ Neomycin sulfate	1.000mg/1.000ml + 5.000mg/1.000ml		NA
127241000033118	2839711000001103	Betnesol-N ear/eye/nose drops (RPH Pharmaceuticals AB)	Betnesol-N ear/eye/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate/ Neomycin sulfate	1.000mg/1.000ml + 5.000mg/1.000ml	12020300	NA
93241000033110	3156911000001105	Audicort ear drops (Mercury Pharma Group Ltd)	Audicort ear drops	Ear drops	Auricular	Neomycin/ Triamcinolone acetonide	3.500mg/1.000ml + 1.000mg/1.000ml	12010100	NA
3230541000033110	330973003	Neomycin 0.35% / Triamcinolone 0.1% ear drops	Neomycin 0.35% / Triamcinolone 0.1% ear drops	Ear drops	Auricular	Neomycin/ Triamcinolone acetonide	3.500mg/1.000ml + 1.000mg/1.000ml	12010100	NA
1453241000033112	331074004	Triamcinolone 55micrograms/dose nasal spray	Triamcinolone 55micrograms/dose nasal spray	Spray	Nasal	Triamcinolone acetonide	55.000microgram/1.000dose	12020100	NA
948541000033116	269011000001101	Nasacort 55micrograms/dose nasal spray (Sanofi)	Nasacort 55micrograms/dose nasal spray	Spray	Nasal	Triamcinolone acetonide	55.000microgram/1.000dose	12020100	NA
4954841000033119	15249411000001104	Nasacort Allergy 55micrograms/dose nasal spray (Sanofi)	Nasacort Allergy 55micrograms/dose nasal spray	Spray	Nasal	Triamcinolone acetonide	55.000microgram/1.000dose		NA
1464241000033118	331163005	Triamcinolone 0.1% oromucosal paste	Triamcinolone 0.1% oromucosal paste	Paste	Oromucosal	Triamcinolone acetonide	1.000mg/1.000gram		NA
4954241000033118	155611000001102	Adcortyl In Orabase for Mouth Ulcer 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd)	Adcortyl In Orabase for Mouth Ulcer 0.1% oromucosal paste	Paste	Oromucosal	Triamcinolone acetonide	1.000mg/1.000gram		NA
18741000033110	106211000001101	Adcortyl in Orabase 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd)	Adcortyl in Orabase 0.1% oromucosal paste	Paste	Oromucosal	Triamcinolone acetonide	1.000mg/1.000gram		NA
8494841000033113	22522611000001100	Audavate RD 0.025% cream (Auden McKenzie (Pharma Division) Ltd)	Audavate RD 0.025% cream	Cream	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram		NA
124841000033111	331820009	Betamethasone valerate 0.025% cream	Betamethasone valerate 0.025% cream	Cream	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram	13040000	NA
125341000033118	159911000001105	Betnovate RD 0.025% cream (GlaxoSmithKline UK Ltd)	Betnovate RD 0.025% cream	Cream	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram	13040000	NA
8494941000033117	22520711000001104	Audavate RD 0.025% ointment (Auden McKenzie (Pharma Division) Ltd)	Audavate RD 0.025% ointment	Ointment	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram		NA
134441000033110	426011000001100	Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd)	Betnovate RD 0.025% ointment	Ointment	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram	13040000	NA
134241000033114	331821008	Betamethasone valerate 0.025% ointment	Betamethasone valerate 0.025% ointment	Ointment	Cutaneous	Betamethasone valerate	250.000microgram/1.000gram	13040000	NA
138441000033118	331822001	Betamethasone valerate 0.1% scalp application	Betamethasone valerate 0.1% scalp application	Liquid	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
138341000033112	29911000001103	Betacap 0.1% scalp application (Dermal Laboratories Ltd)	Betacap 0.1% scalp application	Liquid	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
138541000033117	766211000001108	Betnovate 0.1% scalp application (GlaxoSmithKline UK Ltd)	Betnovate 0.1% scalp application	Liquid	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
454441000033110	611311000001103	Diprosalic 0.05%/3% ointment (Merck Sharp & Dohme Ltd)	Diprosalic 0.05%/3% ointment	Ointment	Cutaneous	Betamethasone dipropionate/ Salicylic acid	500.000microgram/1.000gram + 30.000mg/1.000gram	13040000	NA
3224841000033118	331828002	Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment	Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment	Ointment	Cutaneous	Betamethasone dipropionate/ Salicylic acid	500.000microgram/1.000gram + 30.000mg/1.000gram	13040000	NA
2017641000033118	331832008	Betamethasone dipropionate 0.05% scalp lotion	Betamethasone dipropionate 0.05% scalp lotion	Liquid	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000ml	13040000	NA
459241000033110	4023711000001108	Diprosone 0.05% lotion (Merck Sharp & Dohme Ltd)	Diprosone 0.05% lotion	Liquid	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000ml	13040000	NA
10645541000033116	30793711000001104	Xemacort cream (Mylan)	Xemacort cream	Cream	Cutaneous	Betamethasone valerate/ Fusidic acid	1.000mg/1.000gram + 20.000mg/1.000gram		NA
616541000033113	399111000001108	Fucibet cream (LEO Pharma)	Fucibet cream	Cream	Cutaneous	Betamethasone valerate/ Fusidic acid	1.000mg/1.000gram + 20.000mg/1.000gram	13040000	NA
1846141000033117	331849001	Betamethasone valerate 0.1% / Fusidic acid 2% cream	Betamethasone valerate 0.1% / Fusidic acid 2% cream	Cream	Cutaneous	Betamethasone valerate/ Fusidic acid	1.000mg/1.000gram + 20.000mg/1.000gram	13040000	NA
4453141000033112	13408511000001108	Fucibet Lipid cream (LEO Pharma)	Fucibet Lipid cream	Cream	Cutaneous	Betamethasone valerate/ Fusidic acid	1.000mg/1.000gram + 20.000mg/1.000gram	13040000	NA
3232041000033116	331850001	Betamethasone valerate 0.1% / Neomycin 0.5% ointment	Betamethasone valerate 0.1% / Neomycin 0.5% ointment	Ointment	Cutaneous	Betamethasone valerate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram	13040000	NA
135241000033113	547511000001100	Betnovate-N ointment (Chemidex Pharma Ltd)	Betnovate-N ointment	Ointment	Cutaneous	Betamethasone valerate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram		NA
125741000033117	44811000001106	Betnovate-N cream (Chemidex Pharma Ltd)	Betnovate-N cream	Cream	Cutaneous	Betamethasone valerate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram		NA
3231941000033110	331851002	Betamethasone valerate 0.1% / Neomycin 0.5% cream	Betamethasone valerate 0.1% / Neomycin 0.5% cream	Cream	Cutaneous	Betamethasone valerate/ Neomycin sulfate	1.000mg/1.000gram + 5.000mg/1.000gram	13040000	NA
3224641000033119	331852009	Betamethasone valerate 0.1% / Clioquinol 3% ointment	Betamethasone valerate 0.1% / Clioquinol 3% ointment	Ointment	Cutaneous	Betamethasone valerate/ Clioquinol	1.000mg/1.000gram + 30.000mg/1.000gram	13040000	NA
134941000033117	909211000001108	Betnovate-C ointment (Chemidex Pharma Ltd)	Betnovate-C ointment	Ointment	Cutaneous	Betamethasone valerate/ Clioquinol	1.000mg/1.000gram + 30.000mg/1.000gram		NA
125641000033114	547311000001106	Betnovate-C cream (Chemidex Pharma Ltd)	Betnovate-C cream	Cream	Cutaneous	Betamethasone valerate/ Clioquinol	1.000mg/1.000gram + 30.000mg/1.000gram		NA
3224541000033115	331853004	Betamethasone valerate 0.1% / Clioquinol 3% cream	Betamethasone valerate 0.1% / Clioquinol 3% cream	Cream	Cutaneous	Betamethasone valerate/ Clioquinol	1.000mg/1.000gram + 30.000mg/1.000gram	13040000	NA
127041000033114	354027002	Betamethasone 0.1% ear/eye/nose drops	Betamethasone 0.1% ear/eye/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate	1.000mg/1.000ml	11040100	NA
127141000033113	3148011000001108	Betnesol 0.1% eye/ear/nose drops (RPH Pharmaceuticals AB)	Betnesol 0.1% eye/ear/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate	1.000mg/1.000ml	12020100	NA
2925341000033117	3148411000001104	Vistamethasone 0.1% ear/eye/nose drops (Martindale Pharmaceuticals Ltd)	Vistamethasone 0.1% ear/eye/nose drops	Ear/eye/nose drops solution	Auricular/ Nasal/ Ocular	Betamethasone sodium phosphate	1.000mg/1.000ml	12020100	NA
131841000033110	374014000	Betamethasone valerate 0.1% lotion	Betamethasone valerate 0.1% lotion	Liquid	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
132741000033111	3746611000001107	Betnovate 0.1% lotion (GlaxoSmithKline UK Ltd)	Betnovate 0.1% lotion	Liquid	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
12583941000033120	35634611000001104	Audavate 0.1% cream (Actavis UK Ltd)	Audavate 0.1% cream	Cream	Cutaneous	Betamethasone valerate	1.000mg/1.000gram		NA
125541000033113	692111000001109	Betnovate 0.1% cream (GlaxoSmithKline UK Ltd)	Betnovate 0.1% cream	Cream	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
125441000033112	374372000	Betamethasone valerate 0.1% cream	Betamethasone valerate 0.1% cream	Cream	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
2104641000033116	375668004	Betamethasone dipropionate 0.05% cream	Betamethasone dipropionate 0.05% cream	Cream	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000gram	13040000	NA
440141000033113	9011000001106	Diprosone 0.05% cream (Merck Sharp & Dohme Ltd)	Diprosone 0.05% cream	Cream	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000gram	13040000	NA
454541000033111	878711000001109	Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)	Diprosone 0.05% ointment	Ointment	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000gram	13040000	NA
135041000033117	375669007	Betamethasone dipropionate 0.05% ointment	Betamethasone dipropionate 0.05% ointment	Ointment	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000gram	13040000	NA
8494741000033115	22521611000001108	Audavate 0.1% ointment (Auden McKenzie (Pharma Division) Ltd)	Audavate 0.1% ointment	Ointment	Cutaneous	Betamethasone valerate	1.000mg/1.000gram		NA
134641000033112	396279000	Betamethasone valerate 0.1% ointment	Betamethasone valerate 0.1% ointment	Ointment	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
134841000033113	2913211000001105	Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd)	Betnovate 0.1% ointment	Ointment	Cutaneous	Betamethasone valerate	1.000mg/1.000gram	13040000	NA
1861841000033110	691311000001102	Losec MUPS 40mg gastro-resistant tablets (AstraZeneca UK Ltd)	Losec MUPS 40mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	40.000mg	1030500	NA
2747641000033111	398787005	Omeprazole 40mg dispersible gastro-resistant tablets	Omeprazole 40mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	40.000mg	1030500	NA
6114441000033117	18503411000001108	Mezzopram 40mg dispersible gastro-resistant tablets (Sandoz Ltd)	Mezzopram 40mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	40.000mg		NA
5748641000033110	398895004	Diazepam 2mg/5ml oral solution sugar free	Diazepam 2mg/5ml oral solution sugar free	Oral solution	Oral	Diazepam	400.000microgram/1.000ml		NA
2747541000033110	398905005	Omeprazole 20mg dispersible gastro-resistant tablets	Omeprazole 20mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	20.000mg	1030500	NA
1861741000033117	427311000001104	Losec MUPS 20mg gastro-resistant tablets (AstraZeneca UK Ltd)	Losec MUPS 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	20.000mg	1030500	NA
6114341000033111	18503311000001104	Mezzopram 20mg dispersible gastro-resistant tablets (Sandoz Ltd)	Mezzopram 20mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	20.000mg		NA
6114241000033118	18503211000001104	Mezzopram 10mg dispersible gastro-resistant tablets (Sandoz Ltd)	Mezzopram 10mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	10.000mg		NA
1861641000033114	749811000001106	Losec MUPS 10mg gastro-resistant tablets (AstraZeneca UK Ltd)	Losec MUPS 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	10.000mg	1030500	NA
2747441000033114	398942003	Omeprazole 10mg dispersible gastro-resistant tablets	Omeprazole 10mg dispersible gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole magnesium	10.000mg	1030500	NA
1861341000033118	407846000	Omeprazole 10mg gastro-resistant tablets	Omeprazole 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole	10.000mg	1030500	NA
3059541000033112	7316211000001108	Zanprol 10mg gastro-resistant tablets (Omega Pharma Ltd)	Zanprol 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole	10.000mg	1030500	NA
2848841000033111	3632811000001101	Omeran 10mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Omeran 10mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole	10.000mg		NA
2848941000033115	3633211000001108	Omeran 20mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Omeran 20mg gastro-resistant tablets	Gastro-resistant tablet	Oral	Omeprazole	20.000mg		NA
