MedCodeId	Term	CleansedReadCode	OriginalReadCode
913661000006118	Type 1 diabetes mellitus with retinopathy	C10E700	C10E7
913671000006113	Type I diabetes mellitus with retinopathy	C10E711	C10E7-1
913811000006115	Type 1 diabetes mellitus with polyneuropathy	C10EC00	C10EC
913821000006111	Type I diabetes mellitus with polyneuropathy	C10EC11	C10EC-1
913841000006116	Type 1 diabetes mellitus with nephropathy	C10ED00	C10ED
914031000006118	Type 2 diabetes mellitus with renal complications	C10F000	C10F0
914041000006111	Type II diabetes mellitus with renal complications	C10F011	C10F0-1
914051000006113	Type 2 diabetes mellitus with ophthalmic complications	C10F100	C10F1
914061000006110	Type II diabetes mellitus with ophthalmic complications	C10F111	C10F1-1
914071000006115	Type 2 diabetes mellitus with neurological complications	C10F200	C10F2
914081000006117	Type II diabetes mellitus with neurological complications	C10F211	C10F2-1
914151000006112	Type 2 diabetes mellitus with retinopathy	C10F600	C10F6
914161000006114	Type II diabetes mellitus with retinopathy	C10F611	C10F6-1
914231000006111	Type II diabetes mellitus with mononeuropathy	C10FA11	C10FA-1
914241000006118	Type 2 diabetes mellitus with polyneuropathy	C10FB00	C10FB
914251000006116	Type II diabetes mellitus with polyneuropathy	C10FB11	C10FB-1
914261000006119	Type 2 diabetes mellitus with nephropathy	C10FC00	C10FC
914271000006114	Type II diabetes mellitus with nephropathy	C10FC11	C10FC-1
914301000006111	Type 2 diabetes mellitus with diabetic cataract	C10FE00	C10FE
914311000006114	Type II diabetes mellitus with diabetic cataract	C10FE11	C10FE-1
914391000006116	Insulin treated Type 2 diabetes mellitus	C10FJ00	C10FJ
928491000006110	Type I diabetes mellitus with persistent microalbuminuria	C10EL11	C10EL-1
928501000006119	Type 1 diabetes mellitus with ketoacidosis	C10EM00	C10EM
928511000006116	Type I diabetes mellitus with ketoacidosis	C10EM11	C10EM-1
928521000006112	Type 1 diabetes mellitus with ketoacidotic coma	C10EN00	C10EN
928531000006110	Type I diabetes mellitus with ketoacidotic coma	C10EN11	C10EN-1
928541000006117	Type 2 diabetes mellitus with persistent proteinuria	C10FL00	C10FL
928551000006115	Type II diabetes mellitus with persistent proteinuria	C10FL11	C10FL-1
928561000006118	Type 2 diabetes mellitus with persistent microalbuminuria	C10FM00	C10FM
928571000006113	Type II diabetes mellitus with persistent microalbuminuria	C10FM11	C10FM-1
928581000006111	Type 2 diabetes mellitus with ketoacidosis	C10FN00	C10FN
928591000006114	Type II diabetes mellitus with ketoacidosis	C10FN11	C10FN-1
928601000006118	Type 2 diabetes mellitus with ketoacidotic coma	C10FP00	C10FP
928611000006115	Type II diabetes mellitus with ketoacidotic coma	C10FP11	C10FP-1
938301000006114	Type 1 diabetes mellitus with exudative maculopathy	C10EP00	C10EP
938311000006112	Type I diabetes mellitus with exudative maculopathy	C10EP11	C10EP-1
967701000006116	Lipoatrophic diabetes mellitus	C10M.00	C10M
1667941000000112	Type I diabetes mellitus with gastroparesis	C10EQ11	C10EQ-1
77727018	Insulin dependent diabetes mellitus	C10E.12	C10E-2
292466013	Diabetes mellitus with no mention of complication	C100.00	C100
292475010	Diabetes mellitus NOS with no mention of complication	C100z00	C100z
292480018	Diabetes mellitus with hyperosmolar coma	C102.00	C102
292484010	Diabetes mellitus NOS with hyperosmolar coma	C102z00	C102z
292488013	Other specified diabetes mellitus with coma	C103y00	C103y
292565014	Unspecified diabetes mellitus with multiple complications	C108z00	C108z
292617015	Diabetes mellitus with other specified manifestation	C10y.00	C10y
293759015	[X]Unspecified diabetes mellitus with renal complications	Cyu2300	Cyu23
306112011	Pre-existing diabetes mellitus, insulin-dependent	L180500	L1805
429972014	Unstable insulin dependent diabetes mellitus	C10E412	C10E4-2
457327017	Insulin-dependent diabetes without complication	C10EA12	C10EA-2
459162010	Insulin dependent diabetes mellitus with hypoglycaemic coma	C10EE12	C10EE-2
72651000006114	Unstable insulin dependent diabetes mellitus	C108400	C1084
616501000006112	Diabetes mellitus, adult onset, + unspecified complication	C10z100	C10z1
616511000006110	Diabetes mellitus, adult onset, no mention of complication	C100100	C1001
616611000006111	Diabetes mellitus, juvenile type, + unspecified complication	C10z000	C10z0
616621000006115	Diabetes mellitus, juvenile type, no mention of complication	C100000	C1000
746791000006111	Insulin-dependent diabetes without complication	C108A00	C108A
771331000006116	Insulin dependent diabetes mellitus with arthropathy	C108H00	C108H
771341000006114	Insulin dependent diabetes mellitus with diabetic cataract	C108F00	C108F
771351000006111	Insulin dependent diabetes mellitus with gangrene	C108600	C1086
771361000006113	Insulin dependent diabetes mellitus with hypoglycaemic coma	C108E00	C108E
771371000006118	Insulin dependent diabetes mellitus with mononeuropathy	C108B00	C108B
771381000006115	Insulin dependent diabetes mellitus with multiple complicatn	C108300	C1083
771391000006117	Insulin dependent diabetes mellitus with nephropathy	C108D00	C108D
771401000006115	Insulin dependent diabetes mellitus with polyneuropathy	C108C00	C108C
771411000006117	Insulin dependent diabetes mellitus with retinopathy	C108700	C1087
771481000006112	Insulin-dependent diabetes mellitus with neurological comps	C108200	C1082
771491000006110	Insulin-dependent diabetes mellitus with ophthalmic comps	C108100	C1081
771501000006119	Insulin-dependent diabetes mellitus with renal complications	C108000	C1080
772151000006116	Insulin dependent diabetes maturity onset	C108900	C1089
772161000006119	Insulin dependent diabetes mellitus	C100011	C1000-1
772171000006114	Insulin dependent diabetes mellitus	C108.00	C108
772181000006112	Insulin dependent diabetes mellitus - poor control	C108800	C1088
787101000006114	IDDM with peripheral circulatory disorder	C107300	C1073
787111000006112	IDDM-Insulin dependent diabetes mellitus	C108.11	C108-1
913441000006119	Insulin-dependent diabetes mellitus with renal complications	C10E012	C10E0-2
913471000006110	Insulin-dependent diabetes mellitus with ophthalmic comps	C10E112	C10E1-2
913501000006115	Insulin-dependent diabetes mellitus with neurological comps	C10E212	C10E2-2
913531000006111	Insulin dependent diabetes mellitus with multiple complicat	C10E312	C10E3-2
913621000006112	Insulin dependent diabetes mellitus with gangrene	C10E612	C10E6-2
913651000006115	Insulin dependent diabetes mellitus with retinopathy	C10E712	C10E7-2
913681000006111	Insulin dependent diabetes mellitus - poor control	C10E812	C10E8-2
913711000006112	Insulin dependent diabetes maturity onset	C10E912	C10E9-2
913801000006118	Insulin dependent diabetes mellitus with polyneuropathy	C10EC12	C10EC-2
913831000006114	Insulin dependent diabetes mellitus with nephropathy	C10ED12	C10ED-2
913891000006113	Insulin dependent diabetes mellitus with diabetic cataract	C10EF12	C10EF-2
913931000006116	Type 1 diabetes mellitus with peripheral angiopathy	C10EG00	C10EG
459169018	Type II diabetes mellitus with hypoglycaemic coma	C10FD11	C10FD-1
84891000006116	Type II diabetes mellitus with hypoglycaemic coma	C109D11	C109D-1
913491000006111	Type I diabetes mellitus with ophthalmic complications	C10E111	C10E1-1
771421000006113	Insulin dependent diabetes mellitus with ulcer	C108500	C1085
913591000006110	Insulin dependent diabetes mellitus with ulcer	C10E512	C10E5-2
292541011	Type 1 diabetes mellitus with gangrene	C10E600	C10E6
292543014	Type I diabetes mellitus with gangrene	C10E611	C10E6-1
292582011	Type II diabetes mellitus with gangrene	C10F511	C10F5-1
292583018	Type 2 diabetes mellitus with gangrene	C10F500	C10F5
292503016	Diabetes mellitus NOS with ophthalmic manifestation	C105z00	C105z
292512019	Diabetes mellitus NOS with neurological manifestation	C106z00	C106z
13761000006115	Other specified diabetes mellitus with neurological comps	C106y00	C106y
13771000006110	Other specified diabetes mellitus with ophthalmic complicatn	C105y00	C105y
84381000006113	Type 1 diabetes mellitus with neurological complications	C108212	C1082-2
84511000006112	Type 2 diabetes mellitus with gangrene	C109512	C1095-2
84881000006119	Type II diabetes mellitus with gangrene	C109511	C1095-1
281211000006117	Non-insulin dependent diabetes mellitus with gangrene	C109500	C1095
616491000006116	Diabetes mellitus, adult onset, + ophthalmic manifestation	C105100	C1051
616671000006119	Diabetes mellitus, juvenile, + neurological manifestation	C106000	C1060
913511000006117	Type 1 diabetes mellitus with neurological complications	C10E200	C10E2
913781000006117	Type 1 diabetes mellitus with mononeuropathy	C10EB00	C10EB
913901000006112	Type 1 diabetes mellitus with diabetic cataract	C10EF00	C10EF
914221000006113	Type 2 diabetes mellitus with mononeuropathy	C10FA00	C10FA
938321000006116	Type 2 diabetes mellitus with exudative maculopathy	C10FQ00	C10FQ
84401000006113	Type 1 diabetes mellitus with ophthalmic complications	C108112	C1081-2
616601000006113	Diabetes mellitus, juvenile type, + ophthalmic manifestation	C105000	C1050
913481000006113	Type 1 diabetes mellitus with ophthalmic complications	C10E100	C10E1
189721000000113	Secondary diabetes mellitus without complication	C10N000	C10N0
198461000000116	Secondary pancreatic diabetes mellitus without complication	C10G000	C10G0
213141000006111	Pre-existing diabetes mellitus, unspecified	L180X00	L180X
