MedCodeId	Term	CleansedReadCode	OriginalReadCode	level	label
295144019	Alcohol dependence syndrome NOS	E23z.00	E23z	2	High-risk drinker
295251015	Nondependent alcohol abuse, unspecified	E250000	E2500	2	High-risk drinker
295255012	Nondependent alcohol abuse NOS	E250z00	E250z	2	High-risk drinker
317636014	[D]Alcohol blood level excessive	R103.00	R103	1	General drinker
346930019	Inebriety NOS	E250.13	E250-3	1	General drinker
346931015	Drunkenness NOS	E250.11	E250-1	1	General drinker
217461000000118	Current non drinker	136M.00	136M	0	Non/Ex drinker
223671000000110	Hangover (alcohol)	E250.12	E250-2	1	General drinker
315091000000117	[X]Alcohol withdrawal-induced seizure	Eu10800	Eu108	2	High-risk drinker
362251000006117	[X]Acute alcoholic drunkenness	Eu10011	Eu100-1	2	High-risk drinker
362921000006118	[X]Alcohol addiction	Eu10211	Eu102-1	2	High-risk drinker
370971000006114	[X]Chronic alcoholism	Eu10212	Eu102-2	2	High-risk drinker
376451000006113	[X]Delirium tremens, alcohol induced	Eu10411	Eu104-1	2	High-risk drinker
380031000006116	[X]Evid of alcohol involv determind by level of intoxication	U81..00	U81	1	General drinker
397211000006118	[X]Men & behav dis due alcohl: withdrawl state with delirium	Eu10400	Eu104	2	High-risk drinker
397811000006119	[X]Mental and behav dis due to use alcohol: withdrawal state	Eu10300	Eu103	2	High-risk drinker
587231000006111	Non drinker alcohol	1361.11	1361-1	0	Non/Ex drinker
629811000006113	Drinks occasionally	1362.12	1362-2	1	General drinker
629821000006117	Drinks rarely	1362.11	1362-1	1	General drinker
769451000006111	Intoxication - alcohol	E250.14	E250-4	1	General drinker
460276013	[V]Personal history of alcoholism	ZV11300	ZV113	2	High-risk drinker
346501000006111	[V]Problems related to lifestyle alcohol use	ZV11311	ZV113-1	2	High-risk drinker
251195015	Alcoholics anonymous	13Y8.00	13Y8	2	High-risk drinker
1738421000000111	Lower risk drinking	136d.00	136d	1	General drinker
1738341000000110	Increasing risk drinking	136a.00	136a	2	High-risk drinker
1738381000000119	Higher risk drinking	136c.00	136c	2	High-risk drinker
342361016	Drinks in morning to get rid of hangover	136Y.00	136Y	1	General drinker
342421016	Feels should cut down drinking	136b.00	136b	2	High-risk drinker
